Lote 16438516, Stock:, 2.2 a 0 (2.2),costo,6021.000000, valor,13246.2 
Lote 7161316, Stock:, 10.25 a 0 (10.25),costo,6021.000000, valor,61715.25 
Lote 10846516, Stock:, 0.7 a 0 (0.7),costo,6021.000000, valor,4214.7 
Lote 16432616, Stock:, 1 a 0 (1),costo,6021.000000, valor,6021 
Lote 7188416, Stock:, 0.5 a 0 (0.5),costo,6021.000000, valor,3010.5 
Lote 10737716, Stock:, 0.3 a 0 (0.3),costo,6021.000000, valor,1806.3 
Lote 12848417, Stock:, 5 a 0 (5),costo,6021.000000, valor,30105 
Lote 747016, Stock:, 0.75 a 0 (0.75),costo,6021.000000, valor,4515.75 
Lote 16328716, Stock:, 10 a 0 (10),costo,6021.000000, valor,60210 
Lote 634417, Stock:, 3.5 a 0 (3.5),costo,6021.000000, valor,21073.5 
Lote 7151916, Stock:, 10.06 a 0 (10.06),costo,6021.000000, valor,60571.26 
Lote 6469416, Stock:, 0.55 a 0 (0.55),costo,6021.000000, valor,3311.55 
Lote 6735416, Stock:, 20 a 0 (20),costo,6021.000000, valor,120420 
Lote 7136316, Stock:, 19 a 0 (19),costo,6021.000000, valor,114399 
Lote 16397616, Stock:, 0.55 a 0 (0.55),costo,6021.000000, valor,3311.55 
Lote 12334517, Stock:, 18.9 a 0 (18.9),costo,6021.000000, valor,113796.9 
Lote 16739518, Stock:, 2 a 0 (2),costo,6021.000000, valor,12042 
Lote 14099418, Stock:, 1.5 a 0 (1.5),costo,6021.000000, valor,9031.5 
Lote 22231218, Stock:, 3 a 0 (3),costo,6021.000000, valor,18063 
Lote 16409816, Stock:, 2 a 0 (2),costo,6021.000000, valor,12042 
Lote 15818218, Stock:, 1.14 a 0 (1.14),costo,6021.000000, valor,6863.94 
Lote 16332516, Stock:, 1 a 0 (1),costo,6021.000000, valor,6021 
Lote 16432216, Stock:, 1.5 a 0 (1.5),costo,6021.000000, valor,9031.5 
Lote 53317, Stock:, 1 a 0 (1),costo,6021.000000, valor,6021 
Lote 19757018, Stock:, 1 a 0 (1),costo,6021.000000, valor,6021 
Lote 16324116, Stock:, 0.85 a 0 (0.85),costo,6021.000000, valor,5117.85 
Lote 21512718, Stock:, 1.5 a 0 (1.5),costo,6021.000000, valor,9031.5 
Lote 7192116, Stock:, 1 a 0 (1),costo,6021.000000, valor,6021 
Lote 14118318, Stock:, 0.5 a 0 (0.5),costo,6021.000000, valor,3010.5 
Lote 7182416, Stock:, 31.8 a 0 (31.8),costo,6021.000000, valor,191467.8 
Lote 6233716, Stock:, 3.2 a 0 (3.2),costo,6021.000000, valor,19267.2 
Lote 7163516, Stock:, 10 a 0 (10),costo,6021.000000, valor,60210 
Lote 7195616, Stock:, 4.5 a 0 (4.5),costo,6872.000000, valor,30924 
Lote 13588215, Stock:, 1.65 a 0 (1.65),costo,16425.000000, valor,27101.25 
Lote 11695815, Stock:, 4.35 a 0 (4.35),costo,16425.000000, valor,71448.75 
Lote 5424317, Stock:, 9.56 a 0 (9.56),costo,7228.000000, valor,69099.68 
Lote 4970416, Stock:, 1.65 a 0 (1.65),costo,7228.000000, valor,11926.2 
Lote 12688915, Stock:, 1.9 a 0 (1.9),costo,17919.000000, valor,34046.1 
Lote 13892915, Stock:, 0.2 a 0 (0.2),costo,11656.000000, valor,2331.2 
Lote 4847016, Stock:, 4.35 a 0 (4.35),costo,11656.000000, valor,50703.6 
Lote 248516, Stock:, 2.2 a 0 (2.2),costo,12529.000000, valor,27563.8 
Lote 5220316, Stock:, 1.95 a 0 (1.95),costo,8015.000000, valor,15629.25 
Lote 13531717, Stock:, 4 a 0 (4),costo,5917.000000, valor,23668 
Lote 3865817, Stock:, 2.57 a 0 (2.57),costo,5917.000000, valor,15206.69 
Lote 5961217, Stock:, 25 a 0 (25),costo,5917.000000, valor,147925 
Lote 5961117, Stock:, 25 a 0 (25),costo,5917.000000, valor,147925 
Lote 6023618, Stock:, 1.1 a 0 (1.1),costo,5917.000000, valor,6508.7 
Lote 10569418, Stock:, 2.67 a 0 (2.67),costo,5917.000000, valor,15798.39 
Lote 5244717, Stock:, 4.12 a 0 (4.12),costo,5917.000000, valor,24378.04 
Lote 2371919, Stock:, 0.5 a 0 (0.5),costo,18461.000000, valor,9230.5 
Lote 5533816, Stock:, 2.7 a 0 (2.7),costo,11884.000000, valor,32086.8 
Lote 5455116, Stock:, 1.36 a 0 (1.36),costo,11884.000000, valor,16162.24 
Lote 13580415, Stock:, 2.6 a 0 (2.6),costo,11884.000000, valor,30898.4 
Lote 11705515, Stock:, 2.4 a 0 (2.4),costo,11884.000000, valor,28521.6 
Lote 10597416, Stock:, 3 a 0 (3),costo,12360.000000, valor,37080 
Lote 18428915, Stock:, 0.95 a 0 (0.95),costo,10237.000000, valor,9725.15 
Lote 9638917, Stock:, 2.32 a 0 (2.32),costo,5158.000000, valor,11966.56 
Lote 1579013, Stock:, 2.05 a 0 (2.05),costo,7595.000000, valor,15569.75 
Lote 14562415, Stock:, 5.5 a 0 (5.5),costo,7341.000000, valor,40375.5 
Lote 14206316, Stock:, 1 a 0 (1),costo,6319.000000, valor,6319 
Lote 10108717, Stock:, 1.57 a 0 (1.57),costo,6441.000000, valor,10112.37 
Lote 18396615, Stock:, 4.3 a 0 (4.3),costo,6441.000000, valor,27696.3 
Lote 22583617, Stock:, 1.5 a 0 (1.5),costo,6441.000000, valor,9661.5 
Lote 6009716, Stock:, 3.25 a 0 (3.25),costo,8017.000000, valor,26055.25 
Lote 4775216, Stock:, 1.16 a 0 (1.16),costo,8017.000000, valor,9299.72 
Lote 4767816, Stock:, 4.25 a 0 (4.25),costo,8017.000000, valor,34072.25 
Lote 4780516, Stock:, 0.8 a 0 (0.8),costo,8017.000000, valor,6413.6 
Lote 5960916, Stock:, 0.8 a 0 (0.8),costo,8017.000000, valor,6413.6 
Lote 18401615, Stock:, 2.4 a 0 (2.4),costo,8017.000000, valor,19240.8 
Lote 11367917, Stock:, 2.9 a 0 (2.9),costo,5556.000000, valor,16112.4 
Lote 819316, Stock:, 0.6 a 0 (0.6),costo,5556.000000, valor,3333.6 
Lote 16264415, Stock:, 0.7 a 0 (0.7),costo,5556.000000, valor,3889.2 
Lote 11775215, Stock:, 1 a 0 (1),costo,5556.000000, valor,5556 
Lote 3437714, Stock:, 1.6 a 0 (1.6),costo,5556.000000, valor,8889.6 
Lote 15734617, Stock:, 1.5 a 0 (1.5),costo,5556.000000, valor,8334 
Lote 17311115, Stock:, 3 a 0 (3),costo,7769.000000, valor,23307 
Lote 3420214, Stock:, 0.4 a 0 (0.4),costo,7769.000000, valor,3107.6 
Lote 5735913, Stock:, 0.66 a 0 (0.66),costo,7769.000000, valor,5127.54 
Lote 3432914, Stock:, 2.36 a 0 (2.36),costo,7769.000000, valor,18334.84 
Lote 11502517, Stock:, 1.89 a 0 (1.89),costo,7769.000000, valor,14683.41 
Lote 8202014, Stock:, 0.85 a 0 (0.85),costo,7769.000000, valor,6603.65 
Lote 14179816, Stock:, 1.6 a 0 (1.6),costo,7769.000000, valor,12430.4 
Lote 14318716, Stock:, 2.25 a 0 (2.25),costo,7769.000000, valor,17480.25 
Lote 2041017, Stock:, 6 a 0 (6),costo,7769.000000, valor,46614 
Lote 11678717, Stock:, 1.45 a 0 (1.45),costo,7769.000000, valor,11265.05 
Lote 14319516, Stock:, 4.2 a 0 (4.2),costo,7769.000000, valor,32629.8 
Lote 3461414, Stock:, 3.74 a 0 (3.74),costo,7662.000000, valor,28655.88 
Lote 12223215, Stock:, 0.84 a 0 (0.84),costo,7662.000000, valor,6436.08 
Lote 8641114, Stock:, 3.86 a 0 (3.86),costo,7662.000000, valor,29575.32 
Lote 17251915, Stock:, 2.56 a 0 (2.56),costo,11468.000000, valor,29358.08 
Lote 8294717, Stock:, 0.5 a 0 (0.5),costo,11468.000000, valor,5734 
Lote 13595516, Stock:, 1 a 0 (1),costo,11468.000000, valor,11468 
Lote 4778514, Stock:, 1.45 a 0 (1.45),costo,11468.000000, valor,16628.6 
Lote 17255515, Stock:, 3.65 a 0 (3.65),costo,11468.000000, valor,41858.2 
Lote 15065718, Stock:, 1 a 0 (1),costo,43385.000000, valor,43385 
Lote 762316, Stock:, 0.84 a 0 (0.84),costo,3849.000000, valor,3233.16 
Lote 10119316, Stock:, 0.9 a 0 (0.9),costo,10856.000000, valor,9770.4 
